slide_id,process_patches,status_patches,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,level0_mag,mag_level,patch_level,patch_size,step_size,custom_downsample,save_patch,process_features,status_features,process_hovernet,status_hovernet,bag_size,process_tar
C3L-02164-23.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,5554.0,
C3L-02164-26.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,3565.0,
C3L-02164-27.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,3075.0,
C3L-02168-21.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,9018.0,
C3L-02168-22.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,19321.0,
C3L-02168-23.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,16939.0,
C3L-02168-24.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,16312.0,
C3L-02168-25.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,6508.0,
C3L-02168-26.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,6818.0,
C3L-02170-21.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,12458.0,
C3L-02170-22.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,16030.0,
C3L-02170-23.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,21274.0,
C3L-02170-24.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,5082.0,
C3L-02170-25.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,7615.0,
C3L-02349-21.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,2810.0,
C3L-02349-26.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,7609.0,
C3L-02358-21.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,2490.0,
C3L-02358-22.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,1962.0,
C3L-02358-23.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,2941.0,
C3L-02358-26.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,3403.0,
C3L-02546-21.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,1379.0,
C3L-02546-23.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,1180.0,
C3L-02546-26.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,939.0,
C3L-02552-22.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,1676.0,
C3L-02552-23.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,1727.0,
C3L-02552-26.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,1169.0,
